Run Fondo;fecha;serie;periodo;valor_renta
8088;2023-04-26;B;3M;-3.18%
8088;2023-04-26;B;6M;-11.13%
8088;2023-04-26;B;1Y;-12.84%
8088;2023-04-26;B;YTD;-3.70%
8088;2023-04-27;B;1M;1.20%
8088;2023-04-27;B;3M;-3.54%
8088;2023-04-27;B;6M;-9.90%
8088;2023-04-27;B;1Y;-11.86%
8088;2023-04-27;B;YTD;-3.56%
8088;2023-04-28;B;1M;3.00%
8088;2023-04-28;B;3M;-2.49%
8088;2023-04-28;B;6M;-8.52%
8088;2023-04-28;B;1Y;-12.70%
8088;2023-04-28;B;YTD;-2.52%
8088;2023-04-29;B;1M;3.16%
8088;2023-04-29;B;3M;-2.49%
8088;2023-04-29;B;6M;-8.51%
8088;2023-04-29;B;1Y;-12.20%
8088;2023-04-29;B;YTD;-2.52%
8088;2023-04-30;B;1M;2.49%
8088;2023-04-30;B;3M;-2.86%
8088;2023-04-30;B;6M;-8.51%
8088;2023-04-30;B;1Y;-12.20%
8088;2023-04-30;B;YTD;-2.53%
8088;2023-05-01;B;1M;1.58%
8088;2023-05-01;B;3M;-1.55%
8088;2023-05-01;B;6M;-8.51%
8088;2023-05-01;B;1Y;-12.20%
8088;2023-05-01;B;YTD;-2.53%
8088;2023-05-02;B;1M;1.94%
8088;2023-05-02;B;3M;-1.16%
8088;2023-05-02;B;6M;-7.78%
8088;2023-05-02;B;1Y;-11.67%
8088;2023-05-02;B;YTD;-2.20%
8088;2023-05-03;B;1M;-0.81%
8088;2023-05-03;B;3M;-2.97%
8088;2023-05-03;B;6M;-7.91%
8088;2023-05-03;B;1Y;-12.06%
8088;2023-05-03;B;YTD;-2.87%
8088;2023-05-04;B;1M;-3.04%
8088;2023-05-04;B;3M;-4.14%
8088;2023-05-04;B;6M;-8.32%
8088;2023-05-04;B;1Y;-14.13%
8088;2023-05-04;B;YTD;-4.04%
8088;2023-05-05;B;1M;-1.75%
8088;2023-05-05;B;3M;-3.84%
8088;2023-05-05;B;6M;-8.03%
8088;2023-05-05;B;1Y;-13.80%
8088;2023-05-05;B;YTD;-3.74%
8088;2023-05-06;B;1M;-2.19%
8088;2023-05-06;B;3M;-5.51%
8088;2023-05-06;B;6M;-8.03%
8088;2023-05-06;B;1Y;-11.34%
8088;2023-05-06;B;YTD;-3.75%
8088;2023-05-07;B;1M;-2.19%
8088;2023-05-07;B;3M;-4.58%
8088;2023-05-07;B;6M;-7.11%
8088;2023-05-07;B;1Y;-11.34%
8088;2023-05-07;B;YTD;-3.76%
8088;2023-05-08;B;1M;-1.95%
8088;2023-05-08;B;3M;-3.78%
8088;2023-05-08;B;6M;-6.17%
8088;2023-05-08;B;1Y;-11.12%
8088;2023-05-08;B;YTD;-3.53%
8088;2023-05-09;B;1M;-2.25%
8088;2023-05-09;B;3M;-4.17%
8088;2023-05-09;B;6M;-5.49%
8088;2023-05-09;B;1Y;-10.98%
8088;2023-05-09;B;YTD;-3.83%
8088;2023-05-10;B;1M;-3.67%
8088;2023-05-10;B;3M;-4.56%
8088;2023-05-10;B;6M;-7.14%
8088;2023-05-10;B;1Y;-10.71%
8088;2023-05-10;B;YTD;-4.51%
8088;2023-05-11;B;1M;-1.44%
8088;2023-05-11;B;3M;-2.98%
8088;2023-05-11;B;6M;-9.20%
8088;2023-05-11;B;1Y;-7.90%
8088;2023-05-11;B;YTD;-2.95%
8088;2023-05-12;B;1M;-0.86%
8088;2023-05-12;B;3M;-4.23%
8088;2023-05-12;B;6M;-10.36%
8088;2023-05-12;B;1Y;-8.05%
8088;2023-05-12;B;YTD;-4.20%
8088;2023-05-13;B;1M;-0.56%
8088;2023-05-13;B;3M;-3.95%
8088;2023-05-13;B;6M;-10.36%
8088;2023-05-13;B;1Y;-8.72%
8088;2023-05-13;B;YTD;-4.20%
8088;2023-05-14;B;1M;-1.03%
8088;2023-05-14;B;3M;-3.85%
8088;2023-05-14;B;6M;-11.59%
8088;2023-05-14;B;1Y;-8.72%
8088;2023-05-14;B;YTD;-4.21%
8088;2023-05-15;B;1M;-1.19%
8088;2023-05-15;B;3M;-4.21%
8088;2023-05-15;B;6M;-11.42%
8088;2023-05-15;B;1Y;-8.87%
8088;2023-05-15;B;YTD;-4.37%
8088;2023-05-16;B;1M;0.05%
8088;2023-05-16;B;3M;-2.95%
8088;2023-05-16;B;6M;-10.63%
8088;2023-05-16;B;1Y;-8.37%
8088;2023-05-16;B;YTD;-3.18%
8088;2023-05-17;B;1M;0.02%
8088;2023-05-17;B;3M;-1.63%
8088;2023-05-17;B;6M;-11.86%
8088;2023-05-17;B;1Y;-8.11%
8088;2023-05-17;B;YTD;-2.71%
